keyword,date,all,pc,wise
宜宾,2022-01-01,1909,251,1658
宜宾,2022-01-02,2026,262,1764
宜宾,2022-01-03,2162,344,1818
宜宾,2022-01-04,2572,709,1863
宜宾,2022-01-05,2442,577,1865
宜宾,2022-01-06,2474,583,1891
宜宾,2022-01-07,2452,625,1827
宜宾,2022-01-08,2494,386,2108
宜宾,2022-01-09,2298,369,1929
宜宾,2022-01-10,2736,661,2075
宜宾,2022-01-11,2522,591,1931
宜宾,2022-01-12,2539,651,1888
宜宾,2022-01-13,2602,659,1943
宜宾,2022-01-14,2433,535,1898
宜宾,2022-01-15,2197,346,1851
宜宾,2022-01-16,2135,274,1861
宜宾,2022-01-17,2595,594,2001
宜宾,2022-01-18,2562,568,1994
宜宾,2022-01-19,2540,563,1977
宜宾,2022-01-20,2936,659,2277
宜宾,2022-01-21,2645,557,2088
宜宾,2022-01-22,2487,377,2110
宜宾,2022-01-23,2399,347,2052
宜宾,2022-01-24,2817,682,2135
宜宾,2022-01-25,2696,555,2141
宜宾,2022-01-26,2807,582,2225
宜宾,2022-01-27,2805,687,2118
宜宾,2022-01-28,2692,591,2101
宜宾,2022-01-29,2816,468,2348
宜宾,2022-01-30,2284,312,1972
宜宾,2022-01-31,1953,205,1748
宜宾,2022-02-01,2084,208,1876
宜宾,2022-02-02,2582,316,2266
宜宾,2022-02-03,2565,251,2314
宜宾,2022-02-04,2627,268,2359
宜宾,2022-02-05,2454,259,2195
宜宾,2022-02-06,2615,343,2272
宜宾,2022-02-07,2715,603,2112
宜宾,2022-02-08,2888,732,2156
宜宾,2022-02-09,2998,816,2182
宜宾,2022-02-10,3121,833,2288
宜宾,2022-02-11,3088,788,2300
宜宾,2022-02-12,2615,430,2185
宜宾,2022-02-13,2565,361,2204
宜宾,2022-02-14,3014,836,2178
宜宾,2022-02-15,3142,867,2275
宜宾,2022-02-16,3324,864,2460
宜宾,2022-02-17,3128,850,2278
宜宾,2022-02-18,3063,844,2219
宜宾,2022-02-19,2276,408,1868
宜宾,2022-02-20,2565,457,2108
宜宾,2022-02-21,2976,853,2123
宜宾,2022-02-22,3034,848,2186
宜宾,2022-02-23,2867,856,2011
宜宾,2022-02-24,2873,844,2029
宜宾,2022-02-25,2578,716,1862
宜宾,2022-02-26,2328,416,1912
宜宾,2022-02-27,2484,465,2019
宜宾,2022-02-28,2868,852,2016
宜宾,2022-03-01,2830,844,1986
宜宾,2022-03-02,2695,780,1915
宜宾,2022-03-03,2831,842,1989
宜宾,2022-03-04,2616,780,1836
宜宾,2022-03-05,2329,440,1889
宜宾,2022-03-06,2236,340,1896
宜宾,2022-03-07,2762,808,1954
宜宾,2022-03-08,2708,783,1925
宜宾,2022-03-09,2802,775,2027
宜宾,2022-03-10,2894,791,2103
宜宾,2022-03-11,2670,729,1941
宜宾,2022-03-12,2364,451,1913
宜宾,2022-03-13,2436,450,1986
宜宾,2022-03-14,3721,875,2846
宜宾,2022-03-15,4103,907,3196
宜宾,2022-03-16,3030,848,2182
宜宾,2022-03-17,2918,789,2129
