holiday,indicator,value,yoy,source
2024国庆(7天),全市A级景区接待,202.48万人次,,川观新闻/文广旅游局
2024国庆(7天),A级景区门票收入,约1959万元,,川观新闻
2024国庆(7天),李庄古镇景区,36.87万人次,+30.5%,宜宾市政府网(10月4日单日峰值6.77万)
2024国庆(7天),翠屏区合计,172.47万人次(A级景区94.86万),,政府网/央广网
2025国庆中秋(8天),A级景区,54家开放(8家收费);门票收入2081万元,+6.23%,文广旅游局官网
2025国庆中秋(8天),旅游人次与综合收入,创历史新高,,封面新闻
2025国庆中秋(8天),在线旅游消费(携程口径),"同比+33.44%,全省第5;人均花费+1.06%",,文广旅游局官网
2025国庆中秋(8天),五粮液景区,20.1万人次/+35.26%;综合收入1176万元/+61.72%,,文广旅游局官网
2025国庆中秋(8天),公共文化空间(40家馆),服务游客55万人次,,文广旅游局官网
2023中秋国庆,翠屏区接待,160.34万人次,+391.69%,宜宾市政府网(首届赛事前)
2023中秋国庆,叙州区接待,94.97万人次,,宜宾市政府网
2026五一(5天),A级景区(55家),150.36万人次,+10.81%;门票收入1509.1万,文广旅游局(封面新闻)
2025春节(8天),全市接待,738万人次;旅游收入45.93亿元,,"文旅局通报(贴吧转引,需核)"
2025春节,A级景区开放,53家,,同上
