year,month,shezero_yi,canyin_yi,shangpin_yi,race_flag
2022,3,102.41,14.03,88.39,
2022,4,93.36,13.23,80.13,
2022,5,101.52,14.38,87.14,
2022,6,103.38,14.51,88.87,
2022,7,100.72,14.43,86.29,
2022,8,92.01,12.83,79.18,
2022,9,95.25,13.4,81.84,
2022,10,105.58,14.8,90.79,
2022,11,107.48,14.94,92.54,
2022,12,121.84,16.21,105.61,
2023,3,92.01,15.91,76.1,
2023,4,96.7,16.23,80.47,
2023,5,101.66,16.93,84.73,
2023,6,96.22,15.52,80.7,
2023,7,97.65,15.6,82.05,
2023,8,92.88,14.87,78.01,
2023,9,104.62,16.6,88.02,
2023,10,115.77,18.45,97.32,"2023首届(10.22,1.8万人)"
2023,11,115.91,17.8,98.11,
2023,12,127.2,19.0,108.2,
2024,3,104.7,16.05,88.65,
2024,4,104.02,17.09,86.94,
2024,5,108.51,17.43,91.07,
2024,6,98.82,16.83,81.98,
2024,7,100.39,17.1,83.3,
2024,8,93.84,15.97,77.86,
2024,9,105.43,16.34,89.09,
2024,10,111.11,17.23,93.89,
2024,11,107.73,16.69,91.03,
2024,12,113.73,17.63,96.11,"2024第二届(12.22,1.5万人)"
2025,3,91.98,,,
2025,4,95.88,15.62,80.26,
2025,5,103.82,13.49,90.33,
2025,6,102.34,13.31,89.04,
2025,7,98.54,13.79,84.74,
2025,8,93.83,14.08,79.75,
2025,9,99.79,14.97,84.83,
2025,10,106.46,15.97,90.48,"2025第三届(10.12,9000人)"
2025,11,101.68,15.25,86.43,
2025,12,106.97,17.65,89.32,
2026,3,95.27,,,
2026,4,99.69,,-224.97,"2026第四届(4.19,1.6万人)"
2026,5,103.4,,2.2,
2026,6,102.64,,487.51,
2026,7,99.16,,-482.7,
