year,indicator,value,yoy,scope,source
2022,旅游总量,无官方公开数值,,2022年公报无旅游段；2023版年鉴起删除旅游表；疫情封控年多市停发,百度检索+公报/年鉴核验(2026-09-14)
2022,旅客运输总量(参考),2744.76万人次,-31.4%,"全年,疫情封控",2022年统计公报表5
2025,国民经济统计公报发布,"已发布(2026-04-13,25页)",,"公报含消费终核:社零1187.63亿(-1.5%)/餐饮183亿(-6.3%)/商品零售1004.63亿(-0.6%),与月度面板一致;公报无旅游总量(仅4A景区20家/3A 34家)","宜宾市统计局,百度检索发现"
2025,旅游总量,全年值未公开发布,,文旅系统年度值未检索到;最新公开为上半年5740万人次(第三方转述)+假日数据,多渠道检索核验(2026-09-14)
2018,国内旅游人数(窄口径),6535.10万人次,,全年,宜宾统计年鉴2022表13-11(文旅局提供)
2019,国内旅游人数(窄口径),7905.73万人次,,全年(疫前峰值),同上
2020,国内旅游人数(窄口径),6647.41万人次,,全年(疫情),同上
2021,国内旅游人数(窄口径),7475.15万人次,,全年,同上
2018,旅游收入(窄口径),687.28亿元,,全年,同上
2019,旅游收入(窄口径),826.32亿元,,全年(疫前峰值),同上
2020,旅游收入(窄口径),669.92亿元,,全年(疫情),同上
2021,旅游收入(窄口径),680.24亿元,,全年,同上
2018,蜀南竹海景区客流,148.98万人次,,全年,同上
2021,蜀南竹海景区客流,96.37万人次,,全年,同上
2019,蜀南竹海景区客流,111.38万人次,,全年,同上
2018,兴文石海景区客流,60.65万人次,,全年,同上
2021,兴文石海景区客流,67.17万人次,,全年,同上
2021,星级饭店数,12个,,年末,同上
口径说明,,"2021及以前为""国内旅游人数""窄口径；2023起官方改用""接待游客""宽口径(含一日游/过境)，两者不可直接同比。2022年因年鉴删表缺测(疫情年)",,,论文使用时须注明口径断点
2023,接待游客,8873万人次,+42.5%,全年累计,宜宾市文旅系统年度发布(2024-01)
2023,旅游综合收入,787亿元,+46.6%,全年累计,同上
2023,前三季度进度,近7000万人次/超600亿元,,文旅发展大会披露,四川省文旅发展大会(2023-09-27)
2024,接待游客,9738万人次,+9%(约),全年累计(最终),四川日报(2025-06-17)
2024,旅游总收入,898亿元,+10%(约),全年累计(最终),四川日报(2025-06-17)
2024,接待游客(预计口径),9700万人次,+9%,政府工作报告预计值,2025政府工作报告
2024,旅游收入(预计口径),865亿元,+10%,政府工作报告预计值,2025政府工作报告
2025,全年目标,1亿人次/900亿元,,政府工作报告目标,2025政府工作报告
2025,上半年接待游客,5740万人次,,半年,报告大厅引官方数据
2025,春节假期,738万人次/45.93亿元,,8天假期,文旅局通报
2025,国庆中秋假期,54家A级景区开放;在线旅游消费+33.44%(携程口径),,8天假期,文广旅游局/新华网
2026,五一假期,"A级景区55家接待150.36万人次/+10.81%,门票收入1509.1万",,5天假期,文广旅游局(封面新闻)
